iter	Logloss
0	0.5738869295
1	0.5022021678
2	0.4612787865
3	0.4360199515
4	0.4210731203
5	0.4103470169
6	0.4037028167
7	0.3948194917
8	0.3918433992
9	0.3885558949
10	0.3826612487
11	0.3806991636
12	0.3788489501
13	0.3770591273
14	0.375562153
15	0.370141701
16	0.3687377549
17	0.3668625469
18	0.3656031977
19	0.3637798542
20	0.359868396
21	0.35836755
22	0.3573310034
23	0.3562638639
24	0.3524909109
25	0.350572981
26	0.3485637904
27	0.3478211255
28	0.3443825827
29	0.3433731663
30	0.3406245201
31	0.3392880203
32	0.3380694268
33	0.3354870896
34	0.3336754096
35	0.3323462322
36	0.3296729064
37	0.3243876762
38	0.3231104115
39	0.3169908651
40	0.3155024889
41	0.3137218673
42	0.3095023927
43	0.3087478846
44	0.3057408838
45	0.3044002596
46	0.3026812579
47	0.3013475749
48	0.3003284406
49	0.2990338874
50	0.2958451043
51	0.292009522
52	0.2905831711
53	0.2889503618
54	0.2871898668
55	0.2843729802
56	0.2833546875
57	0.2820427989
58	0.2804381291
59	0.2793430844
60	0.2782249015
61	0.2762382288
62	0.2752716336
63	0.2702194983
64	0.2694885039
65	0.2685324008
66	0.2677474943
67	0.2664625417
68	0.2655030254
69	0.2648356224
70	0.2635893004
71	0.2622596193
72	0.2610074764
73	0.2603961164
74	0.2596637362
75	0.258795133
76	0.2579659892
77	0.2552921136
78	0.2545195646
79	0.2538326237
80	0.2528033668
81	0.2522030568
82	0.2512613681
