iter	Passed	Remaining
0	56	4627
1	61	2493
2	66	1768
3	71	1410
4	76	1195
5	81	1047
6	87	948
7	92	867
8	97	803
9	102	750
10	107	704
11	112	667
12	117	633
13	122	604
14	127	576
15	131	552
16	136	531
17	142	512
18	146	494
19	150	475
20	155	458
21	160	444
22	164	429
23	169	416
24	174	404
25	178	392
26	183	380
27	187	368
28	191	357
29	196	346
30	200	337
31	205	327
32	209	317
33	213	308
34	218	299
35	222	290
36	226	282
37	231	273
38	235	265
39	239	257
40	243	249
41	248	242
42	252	234
43	256	227
44	260	219
45	264	212
46	268	205
47	272	198
48	276	191
49	280	185
50	285	178
51	289	172
52	293	166
53	297	159
54	301	153
55	305	147
56	309	141
57	314	135
58	318	129
59	322	123
60	326	117
61	330	111
62	334	106
63	338	100
64	342	94
65	346	89
66	351	83
67	355	78
68	360	73
69	364	67
70	368	62
71	372	56
72	376	51
73	381	46
74	385	41
75	389	35
76	393	30
77	397	25
78	401	20
79	405	15
80	409	10
81	413	5
82	417	0
